公司,年/月,季別,合併(Y/N),月份,幣別,營業收入淨額,營業成本,營業毛利,聯屬公司已（未）實現銷貨利益,已實現銷貨毛利,營業費用,  研究發展費,  預期信用減損（損失）利益－營業費用,其他收益及費損淨額,營業利益,  利息收入,其他收入,其他利益及損失,財務成本,採權益法之關聯企業及合資損益之份額,預期信用減損（損失）利益,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,營業外收入及支出－其他,營業外收入及支出,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
1101 台泥,2019/12,4,Y,12,NTD,"122,783,014","86,872,759","35,910,255",0,"35,910,255","5,753,534","40,748",0,0,"30,156,721","815,805","3,339,482","-1,173,054","2,199,118","2,509,388",0,0,0,0,"2,476,698","32,633,419","7,178,329","25,455,090",0,0,0,"25,455,090","11,694,513","-6,669,754",0,"5,024,759","30,479,849","24,211,081","1,244,009",0,"29,178,084","1,301,765",0,4.43,"5,461,212","18,219","24,420,432",4.25,"5,744,895","34,832,537","42,172,302","26,211,318"
1102 亞泥,2019/12,4,Y,12,NTD,"94,999,021","69,398,312","25,600,709","-14,392","25,586,317","3,523,141",0,"191,031",0,"22,063,176","1,126,001","1,998,600","661,654","1,820,623","5,490,375",0,0,0,0,"6,330,006","28,393,182","6,149,229","22,243,953",0,0,0,"22,243,953","3,458,255","-4,075,559",0,"-617,304","21,626,649","17,459,673","4,784,280",0,"17,652,536","3,974,113",0,5.56,"3,138,664",0,"17,404,300",5.25,"3,312,321","30,213,805","36,333,948","20,920,406"
1101 台泥,2019/09,3,Y,09,NTD,"87,561,878","62,031,223","25,530,655",0,"25,530,655","4,636,313","31,083",0,0,"20,894,342","633,818","2,942,530","-120,723","1,658,926","1,802,135",0,0,0,0,"2,965,016","23,859,358","4,954,162","18,905,196",0,0,0,"18,905,196","6,202,646","-4,966,841",0,"1,235,805","20,141,001","17,719,524","1,185,672",0,"18,901,686","1,239,315",0,3.24,"5,462,410","18,219","17,858,329",3.12,"5,723,302","25,518,284","31,036,532","18,760,064"
1102 亞泥,2019/09,3,Y,09,NTD,"71,538,843","52,433,995","19,104,848",-9,"19,104,839","2,904,619",0,"321,822",0,"16,200,220","823,107","1,594,938","795,010","1,427,455","4,360,814",0,0,0,0,"5,323,307","21,523,527","4,586,989","16,936,538",0,0,0,"16,936,538","2,533,987","-1,611,707",0,"922,280","17,858,818","13,458,582","3,477,956",0,"14,782,959","3,075,859",0,4.29,"3,139,295",0,"13,568,946",4.1,"3,312,856","22,950,982","26,633,243","16,046,092"
1101 台泥,2019/06,2,Y,06,NTD,"56,723,486","40,912,170","15,811,316",0,"15,811,316","3,033,883","20,892",0,0,"12,777,433","388,385","1,899,149","164,743","1,086,885","1,184,007",0,0,0,0,"2,161,014","14,938,447","3,077,661","11,860,786",0,0,0,"11,860,786","7,176,256","1,276,338",0,"8,452,594","20,313,380","11,181,977","678,809",0,"19,541,962","771,418",0,2.19,"5,107,247","18,219","11,250,235",2.12,"5,294,538","16,025,332","19,577,858","11,562,385"
1102 亞泥,2019/06,2,Y,06,NTD,"45,854,069","33,119,357","12,734,712",0,"12,734,712","1,866,120",0,"25,321",0,"10,868,592","516,709","1,171,625","1,222,238","976,004","2,380,368",0,0,0,0,"3,798,227","14,666,819","3,231,878","11,434,941",0,0,0,"11,434,941","2,563,993","835,955",0,"3,399,948","14,834,889","9,119,017","2,315,924",0,"12,398,491","2,436,398",0,2.91,"3,139,046",0,"9,064,571",2.74,"3,302,241","15,642,823","18,115,473","10,184,642"
1101 台泥,2019/03,1,Y,03,NTD,"25,356,328","18,868,464","6,487,864",0,"6,487,864","1,454,902","10,937",0,0,"5,032,962","184,613","594,045","64,218","535,879","448,149",0,0,0,0,"570,533","5,603,495","1,373,525","4,229,970",0,0,0,"4,229,970","5,997,510","2,602,617",0,"8,600,127","12,830,097","3,951,920","278,050",0,"12,470,174","359,923",0,0.77,"5,107,990",0,"3,967,850",0.77,"5,180,266","6,139,374","7,893,204","4,031,547"
1102 亞泥,2019/03,1,Y,03,NTD,"19,676,960","15,018,459","4,658,501",0,"4,658,501","880,765",0,"7,005",0,"3,777,736","213,436","326,943","779,157","475,195","334,770",0,0,0,0,"965,675","4,743,411","933,325","3,810,086",0,0,0,"3,810,086","1,375,488","1,797,632",0,"3,173,120","6,983,206","2,929,272","880,814",0,"5,724,687","1,258,519",0,0.93,"3,139,063",0,"2,929,028",0.89,"3,303,266","5,218,606","6,457,781","3,012,757"
1101 台泥,2018/12,4,Y,12,NTD,"124,594,602","91,003,063","33,591,539",0,"33,591,539","5,410,638","23,666",0,0,"28,180,901","584,482","2,795,272","-234,863","2,460,302","2,263,413",0,0,0,0,"2,363,520","30,544,421","7,900,350","22,644,071",0,0,0,"22,644,071","1,319,751","-4,256,427",0,"-2,936,676","19,707,395","21,180,821","1,463,250",0,"18,245,179","1,462,216",0,4.37,"4,849,335",0,"21,180,821",4.37,"4,851,464","33,004,723","39,521,444","22,753,293"
1102 亞泥,2018/12,4,Y,12,NTD,"85,624,732","64,468,418","21,156,314","15,147","21,171,461","3,018,351",0,"142,553",0,"18,153,110","370,571","1,479,803","-1,733,766","1,673,185","4,144,156",0,0,0,0,"2,217,008","20,370,118","5,480,921","14,889,197",0,0,0,"14,889,197","1,696,635","-260,462",0,"1,436,173","16,325,370","11,117,094","3,772,103",0,"12,811,353","3,514,017",0,3.54,"3,139,152",0,"11,143,732",3.49,"3,192,393","22,043,303","26,962,495","15,923,255"
